gen,id,i_j0->o_m2,i_m2->o_m3,i_j3->o_m3,i_j1->o_m3,i_j3->h_0,h_0->o_m3,i_m2->h_1,h_1->o_m3,i_m2->h_2,h_2->h_1,i_j0->h_3,h_3->o_m2,h_3->h_4,h_4->o_m2,i_m3->o_m3,h_3->h_5,h_5->h_4,i_j4->o_m2,i_j4->h_6,h_6->o_m2,h_0->o_m2,i_j0->h_7,h_7->h_3,h_4->o_m3,i_j3->h_8,h_8->h_0,i_j7->o_m3,i_m3->o_m2,i_m2->h_0,i_j5->o_m3,i_j5->h_1,i_m3->h_2,h_2->o_m2,i_j5->h_3,h_3->h_1,i_j4->o_m3,i_j4->h_4,i_j1->h_5,h_5->o_m3,i_c->o_m3,i_j5->h_6,h_6->h_3,i_j3->o_m2,h_2->h_7,h_7->o_m2,i_j5->o_m2,h_2->h_8,h_8->h_7,h_7->h_9,h_9->o_m2,h_9->o_m3,i_j6->o_m3,h_6->o_m3,i_j1->o_m2,i_j6->o_m2,i_j6->h_0,i_j6->h_1,h_1->h_0,h_1->h_2,h_2->h_0,i_ca->o_m2,h_1->h_3,h_3->h_2,h_1->h_4,h_4->h_3,h_0->h_5,h_5->o_m2,h_1->h_7,h_7->h_4,i_ca->h_8,h_8->o_m2,h_9->h_4,i_j1->h_0,h_0->h_1,h_0->h_2,h_3->o_m3,h_5->h_0,h_1->h_6,i_ca->o_m3,h_6->h_7,i_j2->o_m2,h_8->o_m3,h_2->h_9,h_9->h_1,i_c->o_m2,i_j2->o_m3,i_j2->h_0,i_j2->h_1,h_0->h_6,h_6->h_5,i_ca->h_7,h_7->h_8,h_3->h_9,h_9->h_2,i_j0->o_m3,h_1->o_m2,i_j6->h_2,h_2->h_3,h_3->h_0,i_j1->h_4,i_j2->h_6,h_0->h_7,h_7->h_1,i_j0->h_8,i_j1->h_9,i_m2->o_m2,i_c->h_0,i_j0->h_1,i_m2->h_3,i_c->h_4,h_4->h_0,i_j2->h_7,h_7->h_6,h_5->h_8,i_j3->h_9,i_j5->h_0,i_j5->h_2,i_j5->h_4,h_4->h_2,h_1->h_5,h_5->h_3,i_j6->h_6,h_5->h_7,h_2->o_m3,i_m3->h_8,h_4->h_9,i_j7->o_m2,i_ca->h_0,i_ca->h_2,h_2->h_5,i_m2->h_6,h_7->o_m3,i_m3->h_9,h_0->h_3,h_5->h_6,h_0->h_8,h_8->h_5,h_0->h_9,h_9->h_8,i_m3->h_3,i_m3->h_4,h_4->h_5,h_6->h_2,h_7->h_0,i_j4->h_9,i_j3->h_2,i_j3->h_3,h_5->h_2,i_j3->h_7,h_8->h_2,h_5->h_9,i_j4->h_2,i_ca->h_3,h_4->h_4,h_7->h_5,i_j0->h_6,i_j4->h_7,i_j5->h_9,i_c->h_3,i_m3->h_6,h_4->h_8,i_j7->h_9,i_j6->h_4,h_8->h_8,h_9->h_3,i_j2->h_2,i_j4->h_3,i_ca->h_4,i_j4->h_5,h_8->h_6,h_8->h_9,i_j7->h_3,i_m2->h_4,i_j0->h_5,i_j7->h_6,i_j2->h_3,h_8->h_4,h_4->h_6,i_c->h_9,i_c->h_2,h_8->h_3,h_9->h_5,i_j0->h_4,i_ca->h_6,i_j6->h_7,i_j4->h_8,h_6->h_8,h_7->h_2,i_m2->h_8,i_c->h_6,h_4->h_7,i_j2->h_9,h_2->h_6,i_m2->h_7,i_j6->h_8,i_j0->h_9,i_j7->h_4,i_j3->h_5,h_9->h_7,i_j0->h_2,i_j2->h_4,i_m2->h_5,i_j3->h_6,i_j3->h_4,h_9->h_6,h_9->h_9,i_j5->h_5,h_3->h_8,i_j7->h_2,i_j5->h_7,h_2->h_4,h_6->h_4,i_m3->h_7,h_3->h_7,h_6->h_6,i_c->h_5,h_2->h_2,h_3->h_3,i_j7->h_5,h_3->h_6,i_c->h_7,i_m2->h_9,i_j2->h_5,i_j7->h_8,i_j6->h_9,i_j6->h_5,i_ca->h_9,i_j5->h_8,h_7->h_7,i_j1->h_3,i_c->h_8,i_j1->h_7,i_j2->h_8,h_6->h_9,i_j6->h_3,i_j1->h_8,i_j1->h_2,h_5->h_5,i_j1->h_6,i_j7->h_7,i_m3->h_5
11,10-0,,0.91654465984538,,0.7414937318062671,,,,0.083316923618145,,,,,,,,,,0.9511939454423002,,0.5107092325768268,,,1.0277345179558484,,,,-0.2413618113302791,-0.3635857551082851,,,,,,,,-0.1528821964864192,,,1.1135892839406252,0.2026593937930583,,,,,,,,,,,,-0.933510220995567,,,,,,,,,,,,,,,0.0876639898684587,,,,,,,,,0.7105557873305173,,,-0.350365387876942,,-0.7920296676109264,,,,,,,,,,,,,,,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,0.0096141926104766,,,,,0.8061744244089928,-0.2202163494560964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11-2,0.2711220610219783,0.9050876532709586,,,,,,,,,,,,,,,,1.013355803934124,,0.6226588565560658,,,,,,,-0.3869911070921495,-0.3507796053226149,,-0.9017957205624834,,,0.2530579781399886,,,0.0792890106257211,,,0.8656550572346267,0.2026593937930583,,,,,,,,,,,,-0.921671896385816,,,,,,,,,0.1338830897385401,,,,,,-0.5824575970814989,,,,,,,,,0.7105557873305173,,,-0.3505588513861518,,-0.7215066174549283,,,,,,,,,,,,,,-0.6475577002869377,,,,,,,,,,,,,,,,,,,,,,,-0.1026133276225339,,,,,0.8258436647030336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,11-2,0.2585633944298335,0.8082803160934307,,,,,,0.1806916696033953,,,,,,,,,,1.265458660218323,,0.6913906203655986,-0.9370813248218144,,,,,,-0.4443744374798232,-0.4818440812139124,,,,,,,,0.0792890106257211,,,0.8034702328326864,0.276150989471228,,,,,,-0.5914010596010025,,,,,,-0.8776896109160386,,,,,,,,,,,,,,,0.0519532701950833,,,,-0.4652009888767521,,,,,0.8464523655662812,,,-0.3505588513861518,,-0.9285205858541002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3490360008300318,,,,,,,,-0.2236820802760928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,11-2,0.1290384302928552,0.8082803160934307,,,,,,0.3087137203049415,,,,,,,,,,1.265458660218323,,,,,,,,,-0.4443744374798232,-0.5151600258104185,,,,,,,,0.0792890106257211,,,0.8034702328326864,0.276150989471228,,,,,-0.2003098887788874,-0.5914010596010025,,,,,,-0.8776896109160386,,,,,,,,,,,,,,,0.0519532701950833,,,,-0.4652009888767521,,,,,0.8464523655662812,,,-0.1066464427222148,,-0.9285205858541002,,,,,,,,,,,,,,,0.2734618602210787,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3490360008300318,,,,,,,,-0.0054451181616777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14-2,0.0958386500380819,1.0341818908403766,,,,0.2760110829949261,,0.264993577201836,,,,,,,,,,1.198845029531156,,0.6338874747672142,,,,-0.0897835687082541,,,-0.4443744374798232,,,,,,,,,0.0792890106257211,,,0.8643231534526349,0.2498281082818922,,,,,,,,,,,,-0.8776896109160386,,,,,,,,,-0.5189882952382796,,,,,,0.0531621302875076,,,,,,,,,,,,-0.3505588513861518,,-0.9285205858541002,,,,,,,,,,,,,,-0.33744168527457,,,,0.8153278524023635,,,,,,,,,,,,,,,,,,,,,,,,,-0.3490360008300318,,,,,,,,-0.2236820802760928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14-2,0.0958386500380819,1.0096215078873505,,,,0.2760110829949261,,0.3256084954944317,,,,,,,,,,1.198845029531156,,0.6338874747672142,,,,0.0972909097025176,,,-0.4443744374798232,,,,,,,,,,,,1.3152730826937562,0.2498281082818922,,,,,,,,,,,,-0.8776896109160386,,,,,,,,,-0.5189882952382796,,,,,,-0.0626456846585912,,,,,,,,,,,,-0.3505588513861518,,-0.9285205858541002,0.197748360750704,,,,,,,,,,,,,-0.33744168527457,,,,0.7592973420036964,,,,,,,,,,,,,,,,,,,,,,,,,-0.3490360008300318,,,,,,,,-0.2236820802760928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16-0,0.2068673028198548,0.8082803160934307,,,,,,0.3069190996449998,,,,,,,,,,1.0138238364254235,,0.898468884772917,-0.7778336567688544,,,,,,-0.4443744374798232,-0.4818440812139124,,,,,,,,0.0451317522053827,,,,0.4697834812446171,,,,,,-0.5914010596010025,,,,,,-0.8776896109160386,0.294278406409787,,,,,,,,,,,,,,-0.0565437132751963,,,,,,,,,0.7061673921192599,,,-0.246903155471211,,1.3757063263596492,,,,,-0.2696396142280217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3490360008300318,,,,,,,,-0.2236820802760928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17-2,0.1867181706567267,0.846934149918066,,,,0.1041243320537648,,0.3147753962862681,,,,,,,0.5203220949386913,,,1.0519651431254051,,0.6340043138145295,,,,0.342839267157044,,,-0.4443744374798232,,,0.8351712492857988,,,,,,-0.0132423902564802,,,1.008624027826902,0.4139814209581725,,,,,,,,,,,,-0.8520802965984062,,0.6839436686156279,,,,,,,-0.4059454887928764,,,,,,,,,,,,,,,,,,,,,0.197748360750704,,,0.8007290773763551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.966868403970888,,,,,,,,-0.17248018370446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,16-1,0.1346862762558859,,0.2261110801183237,,,0.1433711049429201,,0.2179508932321617,,,,,,,0.5057408634689997,,,0.9677246255494576,,0.6430996912438467,,,,,,,-0.4443744374798232,,,0.8351712492857988,,,,,,,,,,0.4890965618770772,,,,,,,,,,,,-0.7859483596263813,,,-0.6185883138553914,,,,,,-0.4220713349008172,,,,,,-0.031656626594275,,,,,,,,,,,,,,,0.197748360750704,,,0.8007290773763551,0.8296757025293413,,,,,,,,,0.8032099144993402,,,,0.7961871788110974,,,,,,,,,,,,,,,,,,,,,,,,,-0.2792622031488773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19-1,0.4017944057727417,1.095676912144934,,,,0.2760110829949261,,,,,,,,,0.6914516271260487,,,0.6580105718553908,,0.3410969737722466,,,,0.2028568054769642,,,-0.4443744374798232,,,0.7663349049498341,,,,,,,,,,0.2707836922790325,,,,,,0.9730154379518784,,,,,,,,,,,,,,,-0.4059454887928764,,,,,,-0.0712002744750892,,,,,,,,,-0.159261866785314,,,,,-0.812964714213867,0.3270718434711909,,,0.9005971201837386,,,,,,,,,,,,,,0.7961871788110974,,,,,,,,,,,,,,,,,,,,,,,,,-0.1677104944664837,,,,,,,,-0.2321451020447912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20-0,-0.0188101840035816,0.9098127180408094,,,,0.1856995388655141,,0.1108127232023375,,,,,,,0.6220903193494366,,,0.7025836869397692,,0.7402297774458149,,,,0.2028568054769642,,,-0.3847530170621667,,,0.8351712492857988,,,,,,,,,,0.3045214845501212,,,,,,-0.0676128176975003,,,,,,-0.7972963875946937,,,,,,,,,-0.4091458835844698,,,,,,,,,,,,,,,,,,,,-0.2602158527198427,0.2602360920409982,,,0.7123402819495224,,,,,,,,,,-0.339375938492253,,,,0.7961871788110974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0816081161727144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,19-1,0.4770062677024698,1.2329419538561697,,,,0.5053489123511117,,,,,,,,,,,,0.6735444179427296,,0.1442402944145698,,,,0.2028568054769642,,,-0.4443744374798232,,,0.93596926979369,,,,,,,,,,0.2707836922790325,,,,,,0.9730154379518784,,,,,,0.1410331343743505,-0.1769548376138769,,,,,,,,,,,,,,-0.0202422859828108,,,,,,,,,,,,,,-0.812964714213867,0.3270718434711909,,,0.7142130924517984,,,,,,,,,,,-0.139161977144522,,,0.9894075904787404,,,,,,,,,,,,,,,,,,,,,,,,,-0.2567770304317989,,,,,,,,-0.2705203396611015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,22-2,0.1941951256477527,1.2025404011611536,-0.6885808050944218,,,,,0.3247841097140818,,,,,,,0.4636603016369712,,,0.6824842593874904,,0.3809773115625426,,,,,,,-0.4359198226225385,,,,,,,,,,,,1.298722571757867,0.4274688657816698,,,0.5117086354681031,,,,,,,,,-0.5359044213580924,,,-0.5308694022902751,,,,,,-0.4140607133761882,,,,,,,,,,0.6571477488236512,,,,,,,,,,-0.594285483389988,0.3065477448732601,,,0.5660044438964711,0.5192368859096377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1675976728677305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
