gen,id,i_ca->o_m0,i_j6->o_m1,i_j4->o_m1,i_j6->h_0,h_0->o_m1,i_devx->o_m1,i_j4->h_1,h_1->o_m1,h_1->h_2,h_2->o_m1,i_j1->o_m0,i_devx->h_3,h_3->o_m1,i_devx->h_4,h_4->h_3,i_j1->o_m1,h_2->h_5,h_5->o_m1,h_3->o_m3,h_4->h_6,h_6->h_3,i_j5->o_m2,h_5->h_7,h_7->o_m1,i_ca->o_m3,h_4->h_8,h_8->h_6,h_3->h_9,h_9->o_m1,i_devx->o_m2,h_4->o_m2,i_m3->o_m1,i_j6->o_m2,i_j3->o_m2,h_0->o_m2,i_m0->o_m0,i_j6->h_1,h_1->h_0,i_m0->o_m3,i_ca->o_m2,h_0->h_2,h_2->o_m2,i_devx->o_m3,h_0->h_3,h_3->h_2,i_m0->h_4,h_4->o_m3,i_j2->o_m3,i_j6->h_5,i_j2->o_m1,i_ca->h_6,h_6->o_m2,i_m3->o_m3,h_6->o_m3,i_m0->h_7,h_7->h_4,i_j3->o_m1,i_m3->h_8,h_8->o_m3,i_ca->h_9,h_9->h_6,i_c->o_m0,h_0->h_1,i_j7->o_m0,i_j1->h_2,h_2->o_m0,i_j7->h_3,h_3->o_m0,i_j7->h_4,h_0->o_m3,h_5->o_m0,i_j7->h_6,h_6->h_4,h_0->h_7,h_7->o_m3,h_8->h_3,h_7->o_m2,i_j6->h_9,h_9->h_0,i_devy->o_m0,h_1->o_m2,i_j0->o_m0,i_m2->o_m3,i_j2->o_m2,i_m3->o_m0,i_m2->h_0,i_ca->o_m1,h_1->o_m3,i_j2->h_2,i_m2->o_m1,i_j2->h_3,i_j0->o_m1,h_1->h_4,i_m2->h_5,h_5->h_0,i_m2->h_6,h_6->o_m1,i_m2->h_7,h_7->h_6,h_0->h_8,h_8->h_1,i_m2->h_9,h_9->h_5,h_7->o_m0,i_m0->h_0,h_0->o_m0,i_ca->h_1,i_j6->o_m0,i_j5->h_2,i_ca->h_3,h_3->h_1,i_j5->h_4,h_4->h_2,i_j0->o_m2,h_4->h_5,h_5->h_2,h_0->h_6,h_6->o_m0,i_j5->h_7,i_m2->o_m2,i_ca->h_8,h_4->h_9,h_1->o_m0,h_4->o_m1,i_j0->o_m3,i_j5->h_0,i_m0->o_m2,i_j1->h_1,h_2->h_1,i_j1->h_3,i_m3->h_4,i_j5->o_m0,i_j5->h_5,i_j6->o_m3,i_c->o_m2,i_j1->h_6,i_m2->h_8,h_8->o_m1,i_j7->o_m2,h_3->o_m2,h_6->h_9,h_9->h_3,i_j2->h_0,i_devy->o_m1,i_c->o_m3,i_c->h_3,i_c->h_4,i_j3->o_m3,i_j2->h_5,i_devy->h_6,h_7->h_0,i_j3->h_9,h_9->o_m2,i_c->o_m1,i_m3->h_0,i_j3->h_1,i_ca->h_4,i_j4->o_m0,h_3->h_5,i_j5->o_m1,h_5->h_6,i_j4->h_7,i_j3->o_m0,h_5->h_8,i_devx->o_m0,i_j3->h_0,i_j3->h_2,i_j7->o_m1,i_j3->h_3,h_3->h_4,h_5->h_1,h_3->h_6,h_4->h_7,h_7->h_2,i_devx->h_8,i_devx->h_9,h_9->h_8,i_j1->o_m3,i_j7->h_0,i_j7->h_1,i_j4->o_m2,h_2->o_m3,i_j1->o_m2,i_j4->h_3,i_j1->h_5,i_devy->o_m3,h_1->h_6,h_6->h_0,i_j0->h_8,h_8->o_m2,h_5->h_9,h_9->h_2,i_m1->o_m0,i_j6->h_2,h_2->h_0,i_m2->o_m0,h_2->h_4,h_4->h_0,i_m1->h_5,h_3->h_7,i_j5->o_m3,h_3->h_8,h_8->h_7,i_j5->h_9,h_9->o_m3,i_devx->h_0,i_m1->o_m2,i_j1->h_4,h_5->o_m2,h_7->h_1,h_8->o_m0,i_m1->o_m1,i_m0->o_m1,i_j7->o_m3,i_j2->o_m0,h_5->o_m3,h_9->o_m0,i_devy->o_m2,h_4->o_m0,i_j4->o_m3,i_m1->o_m3,i_m3->o_m2,i_devy->h_4,h_0->h_5,h_6->h_8,i_c->h_9,h_0->h_9,h_0->h_4,i_m3->h_7,i_c->h_8,i_devy->h_5,i_devy->h_7,h_1->h_8,h_8->h_4,i_m2->h_4,h_9->h_4,h_7->h_5,i_m0->h_8,h_6->h_5,h_1->h_9,h_5->h_5,h_6->h_6,i_devy->h_8,i_m1->h_8,h_7->h_8,i_ca->h_5,i_devy->h_9,h_8->h_9,i_c->h_5,i_c->h_7,h_5->h_4,h_6->h_7,i_j4->h_8,i_j0->h_9,h_8->h_8,i_m3->h_9,i_m1->h_7,h_9->h_7,i_m1->h_4,h_8->h_5,i_j5->h_8,i_c->h_6
11,10-1,,,,,,,,,,0.8801399347893465,,,,,,,,0.0320258307384704,,,,,,,0.9217741865272148,,,,,,,,,,,0.7100244828880186,,,,,,0.8703373574379467,-0.0715990752582374,,,,,,,,,,0.457271456846704,,,,,,,,,0.8080313157306496,,,,,,,,,,,,,0.4686684542079604,1.4869622351458922,,,1.094700375269045,,0.0591489293825092,,,,0.4604193449935134,,,,,,,,,,,,,,,,,,,-0.1487228675846749,,,,,,,,,,,,,,,,-0.7286109435370269,,,-0.3705347132795475,,,,0.8551887684790958,,,,,,,,,,,0.1376132260949936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.007762613895174,0.409477360639809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11-0,,,,,,,,,,0.8801399347893465,,,,,,,,,,,,,,,1.018276108268695,,,,,,-0.9522321472388572,,,,,0.7859303927253514,,,,,,0.8703373574379467,-0.0640430359196892,,,,,,,,,,0.4051945400549787,,,,,,,,,0.8359169465174221,,,,,,,,,,,,0.7600557296274414,0.4114441076549464,1.3597434470122078,,,1.092960418342247,,0.0591489293825092,,,,0.4604193449935134,,,,,,,,,,,,,,,,,,,-0.2043875635286568,,,,,,,,,,,,,,,,-0.7286109435370269,,,-0.3705347132795475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.007762613895174,0.409477360639809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,12-2,,,,,0.7319564376319931,,,,,0.8801399347893465,,,,,,,,0.0320258307384704,,,,,,,1.0293124257234374,,,,,,,,,,,0.7946112739196144,,,,,,0.8703373574379467,-0.063178899254472,,,,,,,,,,0.438188873517858,,,,,,,,,0.6628919284767054,,,,,,,,,,,,,0.4252439968527402,1.24725254095469,,,,,0.0591489293825092,,,,0.4606299595861103,,,,,,,,,,,,,,,,,,,-0.2107535844780141,,,,,,,,,,,,,,,,-0.7286109435370269,,,-0.3705347132795475,,,,0.9134238746461812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0729634428432795,0.409477360639809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,13-1,,,,,,,,,,,,,,,,,,,0.3781040603064445,,,,,,0.9909745274935602,1.292767295404707,,,,,,,,,,,,,-0.2359272135382868,,,,0.1575704140524113,,,,,,,,,,0.4265860957686838,,,,,,,,,0.8439563853019282,,,,,,,,,,,,0.6633707595568838,0.4237131683464761,,,,1.1029561546984412,,-0.2389745458418965,,,,0.4644493933042605,,,,,,,,,,,,,,,,,,,-0.1994232350503894,,,,,,,,,,,,,,,,,,,-0.2520514203686889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0892067426940423,,,,-0.4643365091783524,,,,,,,,,,,,,,,,,,,,,,,,,,,1.007425313692652,0.3876653962480781,-0.6689053315799058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,14-0,,,,,,,,,,0.9277249230327944,,,,,,,,,,,,,,,0.954860782673476,,,,,,-0.8869045750511508,,,,,,,,,,,0.8703373574379467,-0.3011223129076823,,,,,,,,,0.9582057238121456,0.3780461133315632,,,,,,,,,0.8858530708578621,,,,,,0.2656487572890993,,,,,,0.5743835947354681,0.5127265665967509,,,,0.8620478190658176,,-0.0447605550815378,,,,0.4622072279761935,,0.743484748883616,,,,,,,,,,,,,,,,,-0.3803638801607064,,,,,,,,,,,,,,,,-0.5480066478426391,,,,,,,,,,,,,,,,,,-0.4671412051557038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0406236869262624,0.401874906745875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,15-2,,,,,,,,,,0.8157346621789607,,,,,,,,,,,,,,,,,,,,,-0.8869045750511508,,,,,,,,,,,0.8703373574379467,-0.2762782272487823,,,,,,,,,0.9582057238121456,0.3932057361008468,,,,,,,,,0.9120398748301112,,,,,,0.2656487572890993,,,,,,,0.6101793650184411,,,,0.8741875317360507,,-0.0315571555958564,,,,0.4620547971218379,,0.743484748883616,,,,,,,,,,,,,,,,,-0.3602625662441798,,,,,,,,,,,,,,,,-0.5480066478426391,,,,,,,,,,,,,,,,,,-0.5913288865725945,,,,,,,,,,,,,,,0.6479860323324838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.073106519934101,0.401874906745875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16-2,,,,,-0.9321087405573214,,,,,0.8839584411522133,,,,,,,,,,,,,,,,,,,,,-0.8869045750511508,,,,,,,,,,,0.7496198558344471,-0.272653201173276,,,,,,,,,1.0127441951644125,0.5792732014885433,,,,,,,,,0.8933252846601653,,,,,,0.2656487572890993,,,,,,,0.5219329086267279,,,,1.027165811737221,,0.1656080614900847,,,,0.4624217984088879,,0.5591402773376294,,,,,,,,,,,,,,,,,-0.2841642043865959,,,,,,,,,,,,,,,,-0.5480066478426391,,,,,,,,,,,,,,,,,,-0.5049317208933933,,,,,,,,,,,,,,,0.6479860323324838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1295058644335392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17-2,,,,,-0.9321087405573214,,,,,0.8839584411522133,,,,,,,,,,,,,,,,,,,,,-0.8869045750511508,,,,,,,,,,,0.8046502840641012,-0.3256179753541232,,,,,,,,,1.2086037766322046,0.5830114892793861,,,,,,,,,0.884610953198545,,,,,,,,,,,,,0.4861033127203063,,,,0.8955877698825314,,-0.0793997458202026,,,,0.4625196896348083,,0.6696854977619419,,,-0.6179200296084579,,,,,,,,,,,,,,-0.2743195820560614,,,,,,,,,,,,,,,,-0.627968266685649,,,,,,,,,,,,,,,,,,-0.482270011230301,,,,,,,,,,,,,,,0.6479860323324838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,17-0,,,,,,,,,,0.9768182723807723,,,,,,,,,,,,,,,0.9326294959411364,,,,,,,,,,,,,,,,,0.7876798298590757,-0.2098501626906151,,,,,,,,,1.1661279389917436,0.5812386475465168,,,,,,,,,0.8828787031416472,,,,-0.6634020890709025,,,,,0.3814514799615744,,,0.4578689088680469,0.5030951031999861,,,,,-0.929289120869352,-0.1813249819775444,,,,0.4624732658011435,,0.6172606468402131,,,,,,,,,,,,,,,,,-0.2789882855610886,,,,,,,,,,,,,,,,-0.5580417422986421,,,,-0.5528533785331855,,,,,,,,,,,,,,-0.4930170769664676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.399480551438258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,19-0,,,,,,,,,,0.9369314081875644,,,,,,,,,,,,,,,0.9326294959411364,,,,,,,,,,,,,,,,,0.8741256545911994,-0.2322160363292796,,,,,,,,,1.0814055472859845,0.4780124990152753,,,,,,,,,0.8825157934053974,,,,-0.6634020890709025,,,,,0.3814514799615744,,,0.3736645343671044,0.497753746179245,,,,,-0.929289120869352,-0.2175882586152585,,,,0.4624878590996056,,0.7585620257673021,,,,,,,,,,,,,,,,,-0.1529764828500385,,,,,,,,,,,,,,,,0.0855708192253326,,,,-0.5528533785331855,,,,,,,,,,,,,,-0.4896387446423439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0649405942215909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,20-1,,,,,,,,,,1.1071632377944751,,,,,,,,,,,,,,,0.7325437898959278,,,,,,,,,,,,,,,,,,-0.2306848985382679,,,,,,,,,1.0872055288910545,0.5319202273338726,,,,,,,,,0.8825406377204855,,,,-0.6634020890709025,,,,,0.3814514799615744,,,0.3736645343671044,0.4981194083358801,,,,,-0.929289120869352,-0.2175882586152585,,,,0.4917327130397708,,0.9404255040326436,,,,,,,,,,,,,,,,,-0.0368638539316158,,,,,,,,,,,,,,,,-0.2429681092094637,,,,-0.5528533785331855,,,,,,,,,,,,,,-0.4126481841729363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0878427521865875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,21-1,,,,,,,,,,1.0109181244991865,,,,,,,,-0.2972804492567662,,,,,,,0.6029385323062956,,,,,,,,,,,,,,,,,,-0.2306788871795373,,,,,,,,,,0.5321318730101672,,,,,,,,,0.88254073526108,,,,-0.6684773531828666,,,,,0.3814514799615744,,,0.1653594451442928,0.6466118966085813,,,,,-1.067906405635075,-0.2175882586152585,,,,0.4918475304710253,,0.8013373285106404,,,,,,,,,,,,,,,,,-0.1085800533105548,,,,,,,,,,,,,,,,-0.3727621813704738,,,,-0.5237066482612471,,,,,,,,,,,,,,-0.5829145079975102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2745151289964831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
